Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,total,MutatedSamples,AlteredSamples,log_difference
PARP10,2,1,0,0,131,8,0,4,0,146,127,127,5.57792455537216
CCHCR1,2,0,0,0,116,13,0,2,1,134,114,114,5.57737636140943
SPG7,6,1,0,0,115,9,0,3,0,134,114,114,5.57737636140943
MPO,5,1,0,0,164,7,1,2,0,180,165,165,5.57671395093441
PAMR1,10,1,1,0,153,11,0,4,0,180,165,165,5.57671395093441
R3HDM1,9,0,1,0,146,17,0,7,0,180,165,165,5.57671395093441
DCSTAMP,9,5,0,0,157,14,1,1,0,187,173,173,5.57655110377524
ZNF563,8,1,0,0,94,11,1,2,0,117,96,96,5.575429005051
MIB1,1,1,0,0,143,16,0,3,0,164,147,147,5.57512117617221
PSG1,1,0,0,0,145,12,0,6,0,164,147,147,5.57512117617221
ZNF626,14,0,0,0,136,13,0,1,0,164,147,147,5.57512117617221
ZBTB4,4,0,3,1,152,12,0,0,0,172,156,156,5.57483511871737
CBL,2,1,3,0,126,8,0,5,0,145,126,126,5.57465974235314
DRD2,5,0,0,0,136,3,0,1,0,145,126,126,5.57465974235314
SART3,3,1,0,0,123,13,1,4,0,145,126,126,5.57465974235314
ZNF728,4,2,0,0,130,9,0,0,0,145,126,126,5.57465974235314
ASB15,6,2,0,0,132,12,0,2,1,155,137,137,5.5746300817472
IPO5,4,0,2,0,136,8,0,4,1,155,137,137,5.5746300817472
ERMARD,2,4,0,0,110,14,0,3,0,133,113,113,5.57446366049972
ESYT2,3,0,0,0,115,9,0,6,0,133,113,113,5.57446366049972
PCNXL4,4,1,0,0,116,9,1,2,0,133,113,113,5.57446366049972
CXorf23,6,0,0,0,105,20,0,1,0,132,112,112,5.57156421491097
HSPA4,6,0,1,0,102,14,0,9,0,132,112,112,5.57156421491097
DNAI2,3,1,1,0,145,10,0,3,0,163,146,146,5.57151035373242
ACCSL,6,1,1,0,123,7,0,6,0,144,125,125,5.5713967568081
KIF3B,4,1,1,0,122,14,0,2,0,144,125,125,5.5713967568081
ME1,2,1,1,0,130,7,0,3,0,144,125,125,5.5713967568081
SUSD2,4,0,1,0,128,8,0,3,0,144,125,125,5.5713967568081
DYTN,4,0,0,0,134,9,1,4,2,154,136,136,5.57115487189361
SCML2,7,2,0,0,132,10,0,3,0,154,136,136,5.57115487189361
TOX,5,3,1,0,135,7,0,3,0,154,136,136,5.57115487189361
TOX2,4,1,0,1,139,7,0,2,0,154,136,136,5.57115487189361
ZNF28,8,0,1,0,134,10,0,1,0,154,136,136,5.57115487189361
FOXG1,5,2,0,0,158,6,0,0,0,171,155,155,5.57113146606239
MTMR10,4,0,0,0,99,9,0,2,0,114,93,93,5.56920005568581
ABCG8,2,1,0,0,163,6,0,6,0,178,163,163,5.56917928928041
TMEM132A,12,2,1,0,150,11,0,2,0,178,163,163,5.56917928928041
TACR3,4,2,0,0,149,20,0,9,1,185,171,171,5.56892677316075
SPATA13,2,1,0,0,119,5,0,3,1,131,111,111,5.56867884810502
COPB2,11,0,0,0,119,10,0,3,0,143,124,124,5.56813600350185
EPB41,13,2,1,0,110,14,0,3,0,143,124,124,5.56813600350185
SEMA3F,3,0,2,0,126,9,0,3,0,143,124,124,5.56813600350185
THBS4,2,1,0,0,147,10,0,2,0,162,145,145,5.56789153597759
ABR,16,4,1,1,120,6,0,5,0,153,135,135,5.56767553716753
HSP90AA1,8,2,3,1,120,16,0,3,0,153,135,135,5.56767553716753
KIAA1524,2,0,0,0,136,8,0,5,2,153,135,135,5.56767553716753
RUNDC3B,1,1,0,0,133,15,1,2,0,153,135,135,5.56767553716753
ZNF483,4,0,0,0,133,14,0,2,0,153,135,135,5.56767553716753
ATP2A3,2,1,0,0,152,12,0,3,0,170,154,154,5.56741733685891
NNT,11,3,0,0,143,9,0,4,0,170,154,154,5.56741733685891
SOX6,8,5,1,0,136,14,0,6,0,170,154,154,5.56741733685891
XAB2,3,0,4,0,149,10,0,4,0,170,154,154,5.56741733685891
AGAP6,2,0,0,0,119,7,1,1,0,130,110,110,5.56580841973276
GPC4,6,2,1,0,105,11,0,4,1,130,110,110,5.56580841973276
PSG8,3,0,0,0,159,12,0,2,1,177,162,162,5.5653937379185
ADCYAP1R1,6,1,0,0,139,9,0,6,0,161,144,144,5.56426480923411
ENOX1,1,0,0,0,141,14,0,3,2,161,144,144,5.56426480923411
PMS1,7,4,1,0,132,13,0,4,0,161,144,144,5.56426480923411
SREBF2,10,6,1,0,127,12,0,5,0,161,144,144,5.56426480923411
XPO7,2,0,0,0,133,20,0,6,0,161,144,144,5.56426480923411
DNAJC10,7,2,0,0,125,14,0,4,0,152,134,134,5.56419228598986
KDM7A,13,2,0,0,125,7,0,5,0,152,134,134,5.56419228598986
XPO5,2,2,1,0,134,10,0,3,0,152,134,134,5.56419228598986
SERPINB3,3,1,0,0,146,11,0,7,1,169,153,153,5.56369274384251
TMTC3,12,9,0,0,129,15,1,3,0,169,153,153,5.56369274384251
CTAGE6,0,0,1,0,100,10,0,0,0,111,90,90,5.56339339137078
LRRC37A2,4,1,3,0,95,6,0,2,0,111,90,90,5.56339339137078
OR5H2,4,3,0,0,119,2,1,0,0,129,109,109,5.5629538274057
ZNF431,3,3,0,0,109,11,0,3,0,129,109,109,5.5629538274057
ARHGAP12,3,3,0,0,107,20,0,7,1,141,122,122,5.56162290252058
ARHGEF9,4,1,1,0,122,8,0,5,0,141,122,122,5.56162290252058
CHDC2,4,4,1,0,153,18,0,3,0,183,169,169,5.5612491951491
TBX18,4,0,0,0,168,7,0,4,0,183,169,169,5.5612491951491
TRIM9,10,2,0,0,160,10,0,1,0,183,169,169,5.5612491951491
CCDC37,7,2,3,0,128,8,0,2,1,151,133,133,5.56070533678637
CXXC1,4,0,1,1,134,4,0,6,1,151,133,133,5.56070533678637
ELN,8,1,3,0,129,4,0,6,0,151,133,133,5.56070533678637
MTHFD1L,5,1,0,0,132,11,0,2,0,151,133,133,5.56070533678637
NCOA7,5,4,1,0,126,13,0,2,0,151,133,133,5.56070533678637
DHX32,6,2,3,0,105,10,0,2,0,128,108,108,5.56011600856787
SIGLEC6,10,3,1,0,139,12,0,3,0,168,152,152,5.55995770259164
TCF12,16,11,1,1,117,13,0,9,0,168,152,152,5.55995770259164
TIGD4,3,3,0,0,82,21,0,0,0,109,88,88,5.55978823069095
OR4A5,6,2,0,0,168,13,0,0,0,189,176,176,5.5584789741844
ZFX,7,3,2,0,114,13,0,1,0,140,121,121,5.55837145671616
GP2,5,2,0,0,156,6,0,6,0,175,160,160,5.55778602420176
KCNK10,5,1,0,0,153,10,1,4,1,175,160,160,5.55778602420176
UBC,16,3,3,1,102,2,0,0,0,127,107,107,5.55729594247454
ZIK1,2,0,0,0,114,9,0,2,0,127,107,107,5.55729594247454
ZNF573,1,1,0,0,113,12,0,0,0,127,107,107,5.55729594247454
FLII,4,0,1,0,140,3,0,2,0,150,132,132,5.55721491843381
KRT1,2,0,0,0,139,6,0,3,0,150,132,132,5.55721491843381
TTC27,6,0,0,0,119,16,0,9,0,150,132,132,5.55721491843381
C11orf82,7,3,2,0,134,12,0,0,1,159,142,142,5.55698800148821
CADM3,2,1,1,0,139,14,1,1,0,159,142,142,5.55698800148821
SGCZ,2,0,0,0,140,12,0,5,0,159,142,142,5.55698800148821
ZFAND4,6,0,3,0,134,11,0,5,0,159,142,142,5.55698800148821
POM121,5,1,0,0,153,6,0,2,0,167,151,151,5.55621223166443
ADAM20,5,1,0,0,122,11,0,0,0,139,120,120,5.55512404864956
KRT9,3,0,1,0,120,12,0,3,0,139,120,120,5.55512404864956
CLINT1,2,1,0,0,78,22,0,3,0,106,85,85,5.55483309885731
TBX3,15,14,4,0,139,10,0,6,0,188,175,175,5.55457709181241
KIAA0226L,4,0,0,0,110,10,1,1,0,126,106,106,5.55449465228491
SERAC1,5,2,0,0,100,13,0,6,0,126,106,106,5.55449465228491
SMURF1,3,0,1,0,113,5,0,4,0,126,106,106,5.55449465228491
ZNF829,2,3,1,0,104,11,0,5,0,126,106,106,5.55449465228491
EPS15,5,3,0,0,128,8,0,5,0,149,131,131,5.55372127072801
CHRNB3,8,2,0,0,138,8,0,2,0,158,141,141,5.55333812128368
CR1L,10,0,0,0,125,17,0,6,0,158,141,141,5.55333812128368
LY9,1,1,0,0,147,13,0,4,0,166,150,150,5.55245635274185
SPG20,14,4,0,0,129,16,0,3,0,166,150,150,5.55245635274185
CD248,5,1,0,0,114,5,0,0,0,125,105,105,5.55171320727627
RNF214,5,1,0,0,104,13,0,2,0,125,105,105,5.55171320727627
RSBN1L,5,3,3,0,102,12,0,0,0,125,105,105,5.55171320727627
ZNF317,4,0,1,0,113,6,0,1,0,125,105,105,5.55171320727627
ARHGAP4,4,0,0,0,136,4,0,4,0,148,130,130,5.55022464487516
CARD14,13,0,1,0,115,13,0,6,0,148,130,130,5.55022464487516
TPH2,1,2,0,0,128,12,0,5,0,148,130,130,5.55022464487516
RGS9,5,1,0,0,154,10,0,3,0,173,158,158,5.55012928470949
TTLL4,4,4,1,0,151,12,1,0,0,173,158,158,5.55012928470949
CLCN4,12,2,1,0,132,6,0,4,0,157,140,140,5.5496807342098
HEPACAM2,10,2,0,0,128,15,0,2,0,157,140,140,5.5496807342098
SOBP,8,2,0,0,135,8,0,3,1,157,140,140,5.5496807342098
FOXP1,11,4,2,1,128,20,1,12,1,180,166,166,5.54963184478925
APBB1IP,8,2,0,0,140,9,0,6,0,165,149,149,5.54869009077773
CHRNA4,5,1,0,0,154,3,0,2,0,165,149,149,5.54869009077773
GFRA1,9,2,0,0,140,8,1,5,0,165,149,149,5.54869009077773
TMPRSS11F,5,0,1,0,133,17,1,8,0,165,149,149,5.54869009077773
C17orf104,7,5,0,0,112,12,0,1,0,137,118,118,5.54864337759559
CCDC148,10,8,0,0,100,19,0,0,0,137,118,118,5.54864337759559
CYP11B1,5,0,0,0,186,3,0,5,0,199,188,188,5.54844497870675
RAD21,5,1,3,0,125,10,0,3,0,147,129,129,5.54672530400752
USP4,2,2,1,0,129,9,0,4,0,147,129,129,5.54672530400752
USP5,6,0,3,0,130,5,0,3,0,147,129,129,5.54672530400752
GRXCR1,4,1,0,0,146,20,0,1,0,172,157,157,5.54628245656458
FBXO24,8,6,0,0,133,6,1,2,0,156,139,139,5.54601595630972
INO80D,14,2,1,0,124,13,0,1,1,156,139,139,5.54601595630972
SLC22A25,3,0,0,0,139,12,0,2,0,156,139,139,5.54601595630972
TRIM71,3,1,0,0,137,12,0,3,0,156,139,139,5.54601595630972
AKAP17A,6,1,0,0,122,7,0,0,0,136,117,117,5.54541118741308
OR52E2,2,1,0,0,123,8,1,0,1,136,117,117,5.54541118741308
ZBTB33,2,5,0,0,117,11,0,0,1,136,117,117,5.54541118741308
ERO1LB,1,0,0,0,81,12,0,3,0,97,76,76,5.54406744631325
ZNF266,2,0,0,0,108,12,0,0,0,122,102,102,5.54349937807858
AGAP3,3,1,2,0,130,7,0,3,0,146,128,128,5.54322352372503
ARMCX2,6,2,1,0,129,7,0,1,0,146,128,128,5.54322352372503
PTGFRN,1,1,0,0,137,7,0,0,0,146,128,128,5.54322352372503
ZNF551,1,0,0,0,135,10,0,0,0,146,128,128,5.54322352372503
FMO1,5,1,1,0,149,12,0,1,2,171,156,156,5.5424232866318
SAP130,11,4,3,0,133,15,1,4,0,171,156,156,5.5424232866318
PELP1,2,4,1,0,139,8,0,1,0,155,138,138,5.54234391040042
SPICE1,4,4,0,0,127,17,0,2,1,155,138,138,5.54234391040042
TXNDC16,5,2,0,0,124,15,0,9,0,155,138,138,5.54234391040042
FAM13B,7,1,0,0,108,16,0,3,0,135,116,116,5.54218518273877
RBM28,12,1,0,1,106,11,0,4,0,135,116,116,5.54218518273877
FAM83H,2,0,1,0,166,8,0,0,1,178,164,164,5.54181886801404
FUT9,1,1,0,0,172,4,0,0,0,178,164,164,5.54181886801404
PRDM1,7,4,0,0,159,6,0,2,0,178,164,164,5.54181886801404
C17orf85,4,0,1,0,76,8,0,1,0,90,69,69,5.54151553310786
SLC1A6,2,1,0,0,180,6,1,1,0,191,179,179,5.54108803642475
CCT6B,6,0,0,0,108,5,0,2,0,121,101,101,5.54080901393462
KERA,1,0,0,0,108,8,1,3,0,121,101,101,5.54080901393462
CHPF2,8,8,2,0,117,10,0,0,0,145,127,127,5.53971959266413
INTS5,5,0,0,0,131,9,0,0,0,145,127,127,5.53971959266413
MGAT5,8,1,0,0,125,9,0,1,1,145,127,127,5.53971959266413
NFATC3,5,1,0,0,128,9,0,2,0,145,127,127,5.53971959266413
ANKRD32,6,1,0,0,114,7,0,6,0,134,115,115,5.53896596181089
LGI2,1,3,1,0,114,10,0,5,0,134,115,115,5.53896596181089
REPS1,8,0,0,0,107,13,0,6,0,134,115,115,5.53896596181089
ZNF724P,11,1,0,0,112,10,0,0,0,134,115,115,5.53896596181089
FGFR3,7,1,0,0,172,3,0,1,0,184,171,171,5.5388244662788
DZIP1L,10,3,0,0,131,7,0,1,2,154,137,137,5.53866472638109
NAP1L3,3,1,0,0,134,16,0,0,0,154,137,137,5.53866472638109
SCG2,3,1,0,0,138,11,0,1,0,154,137,137,5.53866472638109
AK5,5,0,1,0,138,19,0,7,0,170,155,155,5.53855174988659
ELFN2,3,0,1,0,161,5,0,0,0,170,155,155,5.53855174988659
ZNF671,2,0,0,0,105,11,1,1,0,120,100,100,5.53814462020951
CMTR2,10,3,1,0,118,28,0,1,1,162,146,146,5.5373293086175
CYP4F12,1,1,0,0,145,10,0,5,0,162,146,146,5.5373293086175
UNC5A,4,0,0,0,140,10,0,8,0,162,146,146,5.5373293086175
KCTD8,12,0,0,0,163,14,0,1,0,190,178,178,5.5370972084817
CCDC13,4,1,0,0,127,5,0,7,0,144,126,126,5.53621381309553
PAN3,2,2,2,0,117,12,1,8,0,144,126,126,5.53621381309553
ZNF543,4,2,1,0,124,12,0,1,0,144,126,126,5.53621381309553
PSMD2,3,0,0,0,123,5,0,2,0,133,114,114,5.53575414975713
ANKRD28,1,1,0,0,133,11,0,7,0,153,136,136,5.53497854155664
DSTYK,4,2,1,0,138,4,0,4,0,153,136,136,5.53497854155664
MTSS1,11,2,2,0,123,12,0,3,0,153,136,136,5.53497854155664
PARP9,5,2,0,0,131,14,0,1,0,153,136,136,5.53497854155664
POU4F2,3,0,1,0,145,3,0,1,0,153,136,136,5.53497854155664
OR5L1,3,0,0,0,176,4,0,0,0,183,170,170,5.53484959317639
OR2T3,4,1,0,0,155,8,1,0,0,169,154,154,5.53466782311268
ESRRG,3,2,2,1,150,13,0,5,0,176,162,162,5.53395083544438
KIAA1407,11,1,2,0,136,21,0,5,0,176,162,162,5.53395083544438
SEMG2,5,1,1,0,156,12,0,0,1,176,162,162,5.53395083544438
CCDC19,4,0,1,0,144,11,0,1,0,161,145,145,5.53352183513822
KCNS2,6,1,1,0,148,5,0,0,0,161,145,145,5.53352183513822
LIPE,4,1,1,0,150,5,0,0,0,161,145,145,5.53352183513822
MAN2C1,5,2,1,0,140,8,0,5,0,161,145,145,5.53352183513822
OR14A16,4,0,3,0,151,3,0,0,0,161,145,145,5.53352183513822
C6orf118,7,2,0,0,181,11,0,0,0,201,191,191,5.53275690983028
FMO4,4,0,0,0,130,9,0,0,0,143,125,125,5.53270650155249
NXF1,3,3,1,0,122,7,0,6,1,143,125,125,5.53270650155249
ZC3H7A,11,0,4,0,108,11,0,9,0,143,125,125,5.53270650155249
GOLGA1,6,0,2,0,107,14,0,3,0,132,113,113,5.53255039989445
ZNF7,8,6,0,0,106,11,0,1,0,132,113,113,5.53255039989445
CNST,7,2,0,0,130,9,0,4,0,152,135,135,5.53128550097689
PODN,12,0,0,0,137,2,0,1,0,152,135,135,5.53128550097689
TRPV2,6,2,0,0,128,13,0,3,0,152,135,135,5.53128550097689
VARS2,9,0,1,0,128,9,0,5,0,152,135,135,5.53128550097689
LIPI,3,4,1,0,158,13,0,3,0,182,169,169,5.5308598552849
B4GALNT3,6,0,1,0,143,15,0,3,0,168,153,153,5.5307714850032
STK11,27,11,0,1,75,40,0,13,1,168,153,153,5.5307714850032
CTCFL,9,1,0,0,150,10,0,5,0,175,161,161,5.52999601655694
EDIL3,5,1,0,0,151,15,0,3,0,175,161,161,5.52999601655694
IKBKB,5,2,4,0,124,16,0,8,1,160,144,144,5.52970415824508
MARCH6,4,2,1,0,137,10,0,6,0,160,144,144,5.52970415824508
SMG5,4,1,2,0,138,10,0,5,0,160,144,144,5.52970415824508
SPARCL1,7,3,0,0,109,6,1,5,0,131,112,112,5.52935539510104
BCAR3,2,1,2,0,121,13,0,3,0,142,124,124,5.52919798949135
ELL2,6,2,1,0,102,23,0,8,0,142,124,124,5.52919798949135
GPRIN1,8,3,0,0,124,7,0,0,0,142,124,124,5.52919798949135
PKN3,13,3,6,0,104,11,0,5,0,142,124,124,5.52919798949135
TRHR,2,0,0,0,122,14,0,2,2,142,124,124,5.52919798949135
CLSTN1,9,2,0,0,127,11,0,2,0,151,134,134,5.52758575779256
SERPINB4,0,1,0,0,134,7,2,6,1,151,134,134,5.52758575779256
ZNF574,4,1,1,0,136,9,0,0,0,151,134,134,5.52758575779256
AFTPH,6,2,2,0,104,13,0,3,0,130,111,111,5.52616984926452
OR2M7,3,0,0,0,144,12,0,0,0,159,143,143,5.52587632610199
TAOK3,5,3,0,0,134,8,0,9,0,159,143,143,5.52587632610199
GAA,13,1,0,0,114,5,0,8,0,141,123,123,5.52568862398626
SMEK2,12,3,1,0,113,7,0,5,0,141,123,123,5.52568862398626
SYK,6,3,1,0,119,10,0,2,0,141,123,123,5.52568862398626
GRK4,12,8,0,0,81,8,0,6,0,115,95,95,5.52526360019791
LILRB2,4,0,1,0,167,10,0,5,0,187,175,175,5.52503146898362
DENND1A,5,0,1,0,133,8,0,3,0,150,133,133,5.52387947362885
FCRL2,2,0,0,0,132,13,0,3,0,150,133,133,5.52387947362885
ZNF668,8,2,0,0,107,12,0,0,0,129,110,110,5.52299450881174
MYRF,21,11,2,0,124,5,0,3,0,166,151,151,5.52294149973829
SLCO2A1,10,1,0,0,136,12,0,7,0,166,151,151,5.52294149973829
ZNF777,8,0,0,1,148,9,0,0,0,166,151,151,5.52294149973829
FMNL3,3,2,1,0,155,16,0,3,0,180,167,167,5.52283542690172
FUBP1,38,9,3,0,90,25,0,14,1,180,167,167,5.52283542690172
GABRA5,4,2,0,0,158,12,0,2,2,180,167,167,5.52283542690172
ALAS2,3,2,0,0,128,6,0,1,0,140,122,122,5.52217876846015
B4GALNT2,3,0,0,0,123,9,1,4,0,140,122,122,5.52217876846015
CTAGE9,12,1,0,0,114,13,0,0,0,140,122,122,5.52217876846015
LDB3,9,0,0,0,121,10,0,0,0,140,122,122,5.52217876846015
MED25,18,3,0,0,111,5,0,3,0,140,122,122,5.52217876846015
MTF1,4,2,0,0,124,10,0,0,0,140,122,122,5.52217876846015
TLK2,2,4,0,0,119,7,0,8,0,140,122,122,5.52217876846015
DDX11,5,3,2,0,132,11,0,5,0,158,142,142,5.52203839141595
NFE2L1,17,3,2,0,85,5,0,1,0,113,93,93,5.52034742361839
CWC22,6,2,1,0,121,15,0,4,0,149,132,132,5.52016681897759
ITIH3,5,0,0,0,135,7,0,2,0,149,132,132,5.52016681897759
LRIF1,3,3,1,1,132,9,0,0,0,149,132,132,5.52016681897759
SEMA4F,5,0,2,0,125,8,0,9,0,149,132,132,5.52016681897759
SLC6A11,7,1,2,0,132,5,0,2,0,149,132,132,5.52016681897759
SUN1,8,3,0,0,126,8,0,4,0,149,132,132,5.52016681897759
KCND1,1,1,1,0,123,2,0,0,0,128,109,109,5.51983015432504
FAM83C,2,1,1,0,154,5,0,2,0,165,150,150,5.51900782049642
IL4R,6,2,1,0,139,14,0,1,2,165,150,150,5.51900782049642
INTS4,4,4,0,0,138,16,0,3,0,165,150,150,5.51900782049642
OR10J3,4,0,0,0,155,5,0,0,1,165,150,150,5.51900782049642
PNLIPRP3,3,3,0,0,147,5,0,7,0,165,150,150,5.51900782049642
SLC6A13,2,0,0,0,147,11,1,4,0,165,150,150,5.51900782049642
TRIML1,3,1,0,0,162,12,0,1,0,179,166,166,5.51880055676265
ZNF512B,3,3,0,0,116,6,0,11,0,139,121,121,5.51866880345391
OTUD7A,3,1,1,0,141,11,0,0,0,157,141,141,5.5181904116553
TPCN1,5,0,2,0,138,6,0,6,0,157,141,141,5.5181904116553
AGO2,16,7,1,0,140,4,0,4,0,172,158,158,5.51804761254354
C1orf141,5,2,0,0,96,7,0,2,0,112,92,92,5.51794720905614
LEO1,3,0,3,0,95,8,0,3,0,112,92,92,5.51794720905614
DCLRE1A,8,5,1,0,118,15,0,1,0,148,131,131,5.51644797360903
NAT10,4,2,1,0,126,12,0,3,0,148,131,131,5.51644797360903
ZSCAN5A,2,0,0,0,100,8,1,0,0,111,91,91,5.51558826431257
GUCY1B3,3,1,1,0,114,13,0,6,0,138,120,120,5.51515912743625
SLC6A4,2,0,0,0,120,11,0,4,1,138,120,120,5.51515912743625
MAG,4,1,0,0,145,11,1,2,0,164,149,149,5.51506166598514
MAPT,12,1,0,0,144,3,0,4,0,164,149,149,5.51506166598514
NTNG1,2,1,1,0,160,10,0,4,0,178,165,165,5.5147504625907
EMR3,6,0,0,0,127,11,0,12,0,156,140,140,5.51433244927853
PAH,1,2,0,0,139,9,0,5,0,156,140,140,5.51433244927853
TCF7L2,16,4,4,1,122,18,0,6,0,171,157,157,5.51403662832873
CCDC11,2,0,0,0,104,20,0,0,0,126,107,107,5.51353770670702
CSTF3,18,1,0,0,99,4,0,4,0,126,107,107,5.51353770670702
KLHL5,5,2,0,0,106,10,0,3,0,126,107,107,5.51353770670702
ZNF613,2,3,0,0,108,12,0,1,0,126,107,107,5.51353770670702
DHTKD1,5,4,1,0,128,5,0,4,0,147,130,130,5.51272312700438
NSUN2,7,0,1,0,126,8,0,5,0,147,130,130,5.51272312700438
MICALCL,4,2,2,0,119,9,0,1,0,137,119,119,5.51165015765664
KCNK9,3,1,1,0,153,5,0,0,0,163,148,148,5.51110302614263
WDR59,6,4,0,0,136,14,0,3,0,163,148,148,5.51110302614263
OTOL1,2,0,1,0,135,16,0,0,1,155,139,139,5.5104645719744
TRIM24,5,5,0,0,130,11,0,4,0,155,139,139,5.5104645719744
ZNF263,6,2,0,0,110,7,0,0,0,125,106,106,5.51041136139376
OR8J3,5,2,0,0,156,5,1,0,1,170,156,156,5.51001145454623
PDE6B,1,1,0,0,158,3,0,7,0,170,156,156,5.51001145454623
PIGR,4,5,1,0,146,12,0,2,0,170,156,156,5.51001145454623
CNNM1,8,1,0,0,128,6,0,3,0,146,129,129,5.50899247881019
NDST1,3,0,1,0,134,6,0,2,0,146,129,129,5.50899247881019
PLK4,7,3,0,0,122,7,1,6,0,146,129,129,5.50899247881019
SIGLEC11,8,0,0,0,129,7,0,2,0,146,129,129,5.50899247881019
CEP95,7,0,2,0,104,17,0,6,0,136,118,118,5.5081423310438
JMY,4,0,0,0,106,23,0,3,0,136,118,118,5.5081423310438
TGS1,3,4,0,0,120,8,0,1,0,136,118,118,5.5081423310438
VAC14,2,0,0,1,120,5,0,7,1,136,118,118,5.5081423310438
OR5D14,6,2,0,0,173,7,0,0,1,189,178,178,5.50795459159496
AMPD2,10,1,0,0,102,8,0,2,1,124,105,105,5.50729950161806
GLRA3,0,1,0,0,145,12,0,4,0,162,147,147,5.50713189353596
PPP1R16B,1,2,0,0,149,6,0,4,0,162,147,147,5.50713189353596
TTF1,17,8,3,0,118,13,0,3,0,162,147,147,5.50713189353596
OR4C16,8,1,0,0,158,9,0,0,0,176,163,163,5.50660424108625
SCUBE2,10,5,0,0,120,11,1,7,0,154,138,138,5.50658685291396
SEMA4A,3,0,2,0,135,7,0,7,0,154,138,138,5.50658685291396
XPNPEP2,6,1,0,0,134,8,0,5,0,154,138,138,5.50658685291396
OR5J2,1,4,0,0,155,9,0,0,0,169,155,155,5.50597203371079
PITRM1,3,1,1,0,124,9,0,7,0,145,128,128,5.50525623931596
SEMA4D,1,1,3,0,128,8,0,4,0,145,128,128,5.50525623931596
SNX25,3,3,0,0,123,10,0,6,0,145,128,128,5.50525623931596
AC004381.6,10,1,0,0,111,8,0,5,0,135,117,117,5.50463610515269
MAP3K7,4,0,1,0,117,9,0,4,0,135,117,117,5.50463610515269
NCBP1,3,1,1,0,112,11,0,7,0,135,117,117,5.50463610515269
QRFPR,8,1,0,0,116,7,0,3,0,135,117,117,5.50463610515269
TRIM22,4,0,0,0,111,15,1,3,1,135,117,117,5.50463610515269
FASTKD5,5,5,0,0,105,8,0,0,0,123,104,104,5.5042031064363
HIF1A,3,1,1,0,96,17,1,4,0,123,104,104,5.5042031064363
RMDN2,11,0,0,0,103,5,0,3,1,123,104,104,5.5042031064363
RIN3,2,3,0,0,141,12,0,3,0,161,146,146,5.50314826350258
PAXIP1,4,2,0,2,128,11,0,6,0,153,137,137,5.50269937101498
RNGTT,5,0,0,0,83,12,0,5,0,105,85,85,5.50242901301904
MKL1,17,6,1,1,134,7,0,2,0,168,154,154,5.50191830936645
PLEKHG3,5,0,1,0,157,3,0,2,0,168,154,154,5.50191830936645
RXFP3,4,0,0,0,154,10,0,0,0,168,154,154,5.50191830936645
AP1G1,3,2,0,0,123,13,0,3,0,144,127,127,5.5015146299561
IFT88,7,3,1,0,115,10,0,8,0,144,127,127,5.5015146299561
PPFIBP2,8,0,2,0,114,12,0,8,0,144,127,127,5.5015146299561
CD180,2,5,0,0,119,7,0,1,0,134,116,116,5.50113195916293
CNDP1,1,0,0,0,122,7,1,3,0,134,116,116,5.50113195916293
PRDM4,2,3,0,0,112,9,3,5,0,134,116,116,5.50113195916293
USP17L2,1,1,0,0,120,11,1,0,0,134,116,116,5.50113195916293
WFS1,2,0,1,0,129,1,0,1,0,134,116,116,5.50113195916293
GRB10,4,1,1,0,102,11,0,3,0,122,103,103,5.50112320092473
THAP9,8,3,0,1,101,6,0,3,0,122,103,103,5.50112320092473
CNR1,4,1,1,0,148,6,0,0,0,160,145,145,5.49915213429885
CYP2B6,6,2,0,0,139,8,0,5,0,160,145,145,5.49915213429885
FBF1,2,4,0,0,137,11,0,6,0,160,145,145,5.49915213429885
ASIC4,7,1,0,0,137,3,1,3,0,152,136,136,5.49880221121967
AZI1,1,0,0,0,133,14,0,4,0,152,136,136,5.49880221121967
OR51S1,2,0,0,0,142,8,0,0,0,152,136,136,5.49880221121967
PRPF6,2,0,1,0,143,2,0,4,0,152,136,136,5.49880221121967
SLC5A11,3,0,0,0,140,5,0,4,0,152,136,136,5.49880221121967
HIRA,7,0,1,1,151,9,0,5,0,174,161,161,5.49839603931947
SPOCK3,9,2,2,0,142,13,0,6,0,174,161,161,5.49839603931947
CUZD1,1,3,0,0,103,9,0,4,1,121,102,102,5.49806085858614
GAB1,3,6,0,0,103,9,0,0,0,121,102,102,5.49806085858614
ZBTB16,6,4,0,0,143,11,0,3,0,167,153,153,5.4978502261639
FASTKD3,9,4,1,0,118,10,0,1,0,143,126,126,5.49776788383793
KCNF1,6,1,0,0,131,5,0,0,0,143,126,126,5.49776788383793
TMEM63B,4,1,0,1,122,7,0,8,0,143,126,126,5.49776788383793
CUL2,2,4,1,0,102,16,0,8,0,133,115,115,5.49763039493171
KIF18B,6,0,0,0,117,6,0,4,0,133,115,115,5.49763039493171
LRRFIP1,5,0,1,0,120,6,0,1,0,133,115,115,5.49763039493171
OR2F1,3,0,0,0,120,9,1,0,0,133,115,115,5.49763039493171
ARHGEF2,4,0,0,0,162,7,0,7,0,180,168,168,5.49632005170329
HTR5A,6,0,1,0,145,6,0,1,0,159,144,144,5.49514350725605
